no1,no2
7,21
7,99
12,64
12,97
13,66
14,97
21,7
21,120
21,129
23,64
23,97
27,86
30,111
52,80
58,86
64,12
64,23
66,13
71,88
80,52
86,27
86,58
88,71
93,99
97,12
97,14
97,23
99,7
99,93
99,120
100,111
111,30
111,100
120,21
120,99
129,21
15,112
67,112
112,15
112,67
72,117
72,122
117,72
122,72
13,75
52,58
58,52
75,13
99,122
122,99
106,133
133,106
3,72
72,3
94,106
106,94
12,46
12,111
23,46
23,111
46,12
46,23
69,122
111,12
111,23
122,69
47,122
64,70
70,64
122,47
13,58
27,60
58,13
58,60
60,27
60,58
14,20
14,38
14,57
14,111
20,14
21,77
38,14
57,14
77,21
111,14
12,67
23,67
67,12
67,23
78,115
115,78
8,71
71,8
71,82
77,130
82,71
130,77
86,96
96,86
20,80
33,50
38,80
50,33
57,80
80,20
80,38
80,57
19,119
119,19
46,50
50,46
58,94
94,58
21,76
76,21
7,34
34,7
34,120
120,34
70,106
106,70
0,1
1,0
21,36
21,78
36,21
63,92
78,21
92,63
92,103
103,92
76,86
76,122
86,76
122,76
3,97
7,49
7,91
7,114
7,133
49,7
49,120
91,7
91,120
97,3
114,7
114,120
120,49
120,91
120,114
120,133
133,7
133,120
1,21
1,118
21,1
102,133
118,1
133,102
15,32
21,67
32,15
32,67
67,21
67,32
0,80
27,50
42,77
49,117
49,122
50,27
60,96
77,42
80,0
91,117
91,122
96,60
114,117
114,122
117,49
117,91
117,114
122,49
122,91
122,114
12,125
23,125
125,12
125,23
7,14
14,7
14,120
120,14
42,76
67,69
69,67
76,42
46,99
62,80
80,62
99,46
33,125
46,69
69,46
125,33
62,75
75,62
14,47
14,125
47,14
125,14
125,128
128,125
12,42
23,42
42,12
42,23
3,33
6,83
28,111
33,3
47,119
55,111
83,6
111,28
111,55
119,47
86,115
115,86
115,122
122,115
11,118
118,11
19,76
76,19
27,122
58,69
69,58
122,27
0,72
11,117
20,52
38,52
52,20
52,38
52,57
52,111
57,52
72,0
111,52
117,11
35,92
92,35
0,117
33,64
45,72
46,97
50,96
64,33
72,45
96,50
97,46
117,0
12,78
23,78
78,12
78,23
